# BIOSIM pyloric voltage traces (collapsed)
# version=0.73
# gitSha=5dcaadecf2e6e01560d2b5bb3bc66e84f166c1be
# noise=off
# durationMs=3000 dtSimMs=0.05 burnInMs=3000 sampleMs=2
# collapse=abpd.gNa logfactor=-3
# collapsed=true collapsedCells=ABPD
# cell ABPD: period=null spikes=0 silent
# cell LP: period=991 spikes=61 oscillating
# cell PY: period=992 spikes=13 oscillating
t_ms,v_abpd,v_lp,v_py
0,-57.366,-66.979,-61.145
2,-57.215,-66.86,-61.249
4,-57.063,-66.738,-61.337
6,-56.912,-66.613,-61.411
8,-56.76,-66.485,-61.471
10,-56.608,-66.354,-61.519
12,-56.455,-66.22,-61.554
14,-56.302,-66.083,-61.579
16,-56.148,-65.942,-61.593
18,-55.994,-65.8,-61.597
20,-55.839,-65.654,-61.597
22,-55.683,-65.505,-61.592
24,-55.527,-65.354,-61.578
26,-55.37,-65.201,-61.557
28,-55.212,-65.045,-61.529
30,-55.052,-64.887,-61.495
32,-54.892,-64.726,-61.454
34,-54.731,-64.564,-61.409
36,-54.569,-64.4,-61.358
38,-54.405,-64.234,-61.303
40,-54.239,-64.066,-61.245
42,-54.072,-63.897,-61.183
44,-53.904,-63.726,-61.118
46,-53.733,-63.555,-61.05
48,-53.561,-63.382,-60.981
50,-53.386,-63.209,-60.91
52,-53.21,-63.035,-60.837
54,-53.03,-62.861,-60.764
56,-52.849,-62.686,-60.69
58,-52.664,-62.512,-60.615
60,-52.476,-62.337,-60.541
62,-52.285,-62.164,-60.467
64,-52.091,-61.99,-60.393
66,-51.893,-61.818,-60.321
68,-51.691,-61.647,-60.249
70,-51.485,-61.476,-60.179
72,-51.274,-61.308,-60.11
74,-51.058,-61.14,-60.044
76,-50.837,-60.975,-59.98
78,-50.611,-60.812,-59.918
80,-50.378,-60.651,-59.859
82,-50.139,-60.492,-59.802
84,-49.892,-60.336,-59.749
86,-49.638,-60.183,-59.7
88,-49.376,-60.032,-59.654
90,-49.105,-59.885,-59.613
92,-48.825,-59.741,-59.575
94,-48.534,-59.601,-59.543
96,-48.231,-59.464,-59.515
98,-47.917,-59.331,-59.493
100,-47.589,-59.202,-59.477
102,-47.246,-59.077,-59.467
104,-46.887,-58.957,-59.468
106,-46.511,-58.841,-59.479
108,-46.116,-58.73,-59.499
110,-45.7,-58.625,-59.529
112,-45.26,-58.524,-59.568
114,-44.795,-58.429,-59.619
116,-44.3,-58.341,-59.683
118,-43.774,-58.258,-59.76
120,-43.212,-58.183,-59.852
122,-42.61,-58.115,-59.962
124,-41.962,-58.056,-60.092
126,-41.263,-58.006,-60.245
128,-40.505,-57.966,-60.425
130,-39.68,-57.939,-60.636
132,-38.777,-57.931,-60.886
134,-37.785,-57.956,-61.18
136,-36.691,-58.007,-61.531
138,-35.478,-58.091,-61.951
140,-34.135,-58.217,-62.459
142,-32.652,-58.399,-63.079
144,-31.045,-58.654,-63.84
146,-29.381,-58.999,-64.773
148,-27.828,-59.446,-65.89
150,-26.671,-59.99,-67.163
152,-26.125,-60.599,-68.511
154,-26.036,-61.234,-69.841
156,-25.994,-61.867,-71.084
158,-25.802,-62.481,-72.204
160,-25.543,-63.065,-73.183
162,-25.324,-63.613,-74.019
164,-25.163,-64.12,-74.718
166,-25.041,-64.585,-75.29
168,-24.945,-65.006,-75.752
170,-24.875,-65.385,-76.12
172,-24.826,-65.724,-76.41
174,-24.798,-66.025,-76.636
176,-24.796,-66.29,-76.811
178,-24.818,-66.523,-76.945
180,-24.855,-66.726,-77.047
182,-24.905,-66.902,-77.124
184,-24.968,-67.055,-77.181
186,-25.043,-67.186,-77.223
188,-25.129,-67.298,-77.253
190,-25.226,-67.393,-77.274
192,-25.333,-67.473,-77.287
194,-25.451,-67.54,-77.295
196,-25.58,-67.595,-77.298
198,-25.718,-67.64,-77.298
200,-25.866,-67.676,-77.297
202,-26.024,-67.703,-77.293
204,-26.193,-67.724,-77.286
206,-26.371,-67.738,-77.278
208,-26.561,-67.746,-77.267
210,-26.76,-67.749,-77.255
212,-26.971,-67.749,-77.242
214,-27.193,-67.747,-77.227
216,-27.428,-67.742,-77.211
218,-27.674,-67.732,-77.194
220,-27.933,-67.719,-77.176
222,-28.206,-67.702,-77.157
224,-28.493,-67.683,-77.137
226,-28.796,-67.66,-77.116
228,-29.114,-67.634,-77.094
230,-29.45,-67.606,-77.071
232,-29.804,-67.575,-77.046
234,-30.177,-67.541,-77.021
236,-30.571,-67.505,-76.994
238,-30.987,-67.465,-76.966
240,-31.426,-67.423,-76.937
242,-31.891,-67.378,-76.906
244,-32.381,-67.33,-76.874
246,-32.9,-67.279,-76.841
248,-33.447,-67.225,-76.806
250,-34.024,-67.167,-76.769
252,-34.631,-67.106,-76.73
254,-35.269,-67.041,-76.69
256,-35.936,-66.973,-76.648
258,-36.633,-66.901,-76.604
260,-37.358,-66.825,-76.557
262,-38.108,-66.745,-76.509
264,-38.88,-66.661,-76.459
266,-39.672,-66.573,-76.407
268,-40.48,-66.481,-76.352
270,-41.301,-66.384,-76.295
272,-42.132,-66.284,-76.237
274,-42.969,-66.18,-76.176
276,-43.811,-66.073,-76.113
278,-44.656,-65.961,-76.048
280,-45.502,-65.846,-75.982
282,-46.349,-65.727,-75.913
284,-47.199,-65.605,-75.842
286,-48.05,-65.48,-75.77
288,-48.906,-65.352,-75.695
290,-49.767,-65.22,-75.619
292,-50.636,-65.086,-75.542
294,-51.516,-64.95,-75.462
296,-52.407,-64.811,-75.381
298,-53.313,-64.67,-75.298
300,-54.235,-64.526,-75.214
302,-55.176,-64.381,-75.128
304,-56.135,-64.233,-75.04
306,-57.115,-64.084,-74.951
308,-58.113,-63.933,-74.86
310,-59.128,-63.781,-74.768
312,-60.158,-63.627,-74.674
314,-61.198,-63.472,-74.579
316,-62.241,-63.315,-74.482
318,-63.281,-63.158,-74.384
320,-64.308,-63,-74.284
322,-65.314,-62.84,-74.183
324,-66.289,-62.681,-74.08
326,-67.222,-62.52,-73.976
328,-68.106,-62.359,-73.871
330,-68.933,-62.197,-73.764
332,-69.696,-62.035,-73.655
334,-70.393,-61.872,-73.546
336,-71.022,-61.71,-73.435
338,-71.584,-61.547,-73.323
340,-72.08,-61.384,-73.209
342,-72.514,-61.221,-73.094
344,-72.89,-61.058,-72.978
346,-73.213,-60.895,-72.86
348,-73.488,-60.732,-72.741
350,-73.719,-60.57,-72.621
352,-73.91,-60.407,-72.499
354,-74.068,-60.245,-72.376
356,-74.194,-60.083,-72.252
358,-74.292,-59.922,-72.127
360,-74.367,-59.761,-72
362,-74.419,-59.6,-71.872
364,-74.452,-59.44,-71.743
366,-74.468,-59.28,-71.613
368,-74.47,-59.121,-71.481
370,-74.468,-58.962,-71.349
372,-74.454,-58.804,-71.215
374,-74.428,-58.646,-71.08
376,-74.39,-58.489,-70.943
378,-74.342,-58.333,-70.806
380,-74.285,-58.177,-70.668
382,-74.219,-58.022,-70.528
384,-74.145,-57.867,-70.387
386,-74.064,-57.713,-70.246
388,-73.976,-57.56,-70.103
390,-73.883,-57.407,-69.959
392,-73.783,-57.255,-69.814
394,-73.679,-57.103,-69.668
396,-73.569,-56.952,-69.521
398,-73.455,-56.801,-69.373
400,-73.337,-56.652,-69.225
402,-73.215,-56.502,-69.075
404,-73.089,-56.354,-68.924
406,-72.96,-56.205,-68.773
408,-72.828,-56.058,-68.621
410,-72.693,-55.911,-68.468
412,-72.555,-55.764,-68.314
414,-72.414,-55.618,-68.159
416,-72.272,-55.472,-68.003
418,-72.127,-55.326,-67.847
420,-71.98,-55.181,-67.69
422,-71.831,-55.036,-67.532
424,-71.681,-54.891,-67.374
426,-71.529,-54.747,-67.215
428,-71.376,-54.603,-67.056
430,-71.222,-54.459,-66.895
432,-71.067,-54.315,-66.735
434,-70.911,-54.171,-66.573
436,-70.754,-54.027,-66.412
438,-70.597,-53.883,-66.249
440,-70.439,-53.739,-66.087
442,-70.281,-53.595,-65.923
444,-70.123,-53.45,-65.76
446,-69.965,-53.305,-65.596
448,-69.807,-53.16,-65.432
450,-69.649,-53.014,-65.267
452,-69.492,-52.868,-65.103
454,-69.335,-52.721,-64.938
456,-69.179,-52.573,-64.772
458,-69.023,-52.424,-64.607
460,-68.869,-52.275,-64.441
462,-68.715,-52.124,-64.276
464,-68.563,-51.972,-64.11
466,-68.412,-51.819,-63.944
468,-68.262,-51.664,-63.778
470,-68.114,-51.508,-63.612
472,-67.967,-51.349,-63.446
474,-67.822,-51.189,-63.281
476,-67.679,-51.027,-63.115
478,-67.538,-50.862,-62.95
480,-67.399,-50.695,-62.784
482,-67.263,-50.524,-62.619
484,-67.128,-50.351,-62.454
486,-66.997,-50.174,-62.29
488,-66.868,-49.993,-62.125
490,-66.741,-49.808,-61.961
492,-66.618,-49.619,-61.798
494,-66.497,-49.424,-61.635
496,-66.38,-49.224,-61.472
498,-66.266,-49.018,-61.31
500,-66.155,-48.805,-61.148
502,-66.048,-48.584,-60.987
504,-65.945,-48.355,-60.826
506,-65.846,-48.116,-60.666
508,-65.751,-47.866,-60.507
510,-65.661,-47.605,-60.348
512,-65.575,-47.329,-60.19
514,-65.493,-47.038,-60.033
516,-65.417,-46.728,-59.876
518,-65.347,-46.398,-59.72
520,-65.282,-46.042,-59.565
522,-65.223,-45.656,-59.411
524,-65.171,-45.234,-59.258
526,-65.127,-44.768,-59.106
528,-65.09,-44.244,-58.955
530,-65.062,-43.645,-58.805
532,-65.045,-42.942,-58.655
534,-65.047,-42.086,-58.507
536,-65.073,-40.976,-58.36
538,-65.126,-39.346,-58.214
540,-65.862,47.749,-58.069
542,-67.154,40.048,-57.927
544,-67.954,-48.741,-57.789
546,-68.444,-45.463,-57.651
548,-68.776,-36.555,-57.514
550,-69.016,-36.912,-57.378
552,-69.158,-48.78,-57.244
554,-69.236,-42.323,-57.11
556,-69.307,30.425,-56.976
558,-69.351,-47.41,-56.844
560,-69.369,-45.535,-56.713
562,-69.385,-34.866,-56.583
564,-69.402,-45.899,-56.454
566,-69.404,-46.039,-56.326
568,-69.403,-36.533,-56.199
570,-69.413,-41.116,-56.074
572,-69.413,-45.051,-55.949
574,-69.41,-36.897,-55.826
576,-69.413,-38.736,-55.703
578,-69.413,-44.648,-55.583
580,-69.409,-36.904,-55.463
582,-69.411,-39.135,-55.344
584,-69.411,-45.055,-55.227
586,-69.406,-37.494,-55.11
588,-69.407,-34.769,-54.995
590,-69.407,-46.544,-54.882
592,-69.403,-39.793,-54.769
594,-69.401,27.304,-54.658
596,-69.403,-49.324,-54.548
598,-69.401,-45.118,-54.44
600,-69.391,-34.629,-54.332
602,-69.397,-52.915,-54.226
604,-69.397,-53.141,-54.121
606,-69.392,-45.497,-54.017
608,-69.38,36.93,-53.914
610,-69.39,-53.167,-53.812
612,-69.391,-56.965,-53.712
614,-69.387,-51.536,-53.613
616,-69.375,-43.041,-53.515
618,-69.37,40.053,-53.418
620,-69.381,-59.644,-53.322
622,-69.382,-59.724,-53.228
624,-69.378,-54.239,-53.134
626,-69.365,-46.845,-53.041
628,-69.347,41.753,-52.949
630,-69.362,36.201,-52.858
632,-69.371,-61.308,-52.769
634,-69.371,-59.905,-52.681
636,-69.365,-54.259,-52.593
638,-69.351,-47.611,-52.505
640,-69.331,-40.743,-52.419
642,-69.337,42.509,-52.333
644,-69.356,-62.085,-52.249
646,-69.358,-62.075,-52.166
648,-69.357,-57.64,-52.083
650,-69.347,-52.051,-52
652,-69.33,-46.019,-51.918
654,-69.308,-40.271,-51.836
656,-69.314,42.789,-51.755
658,-69.339,-62.13,-51.676
660,-69.345,-62.306,-51.597
662,-69.345,-58.504,-51.518
664,-69.338,-53.452,-51.44
666,-69.322,-48.047,-51.362
668,-69.301,-42.938,-51.283
670,-69.276,-38.317,-51.205
672,-69.3,42.644,-51.127
674,-69.326,-62.115,-51.051
676,-69.332,-61.732,-50.975
678,-69.332,-57.42,-50.899
680,-69.324,-52.547,-50.823
682,-69.308,-47.57,-50.747
684,-69.287,-43.063,-50.67
686,-69.262,-39.211,-50.593
688,-69.26,42.207,-50.515
690,-69.301,-57.969,-50.439
692,-69.318,-61.696,-50.364
694,-69.319,-58.835,-50.288
696,-69.317,-54.245,-50.211
698,-69.305,-49.473,-50.134
700,-69.286,-45.028,-50.056
702,-69.263,-41.298,-49.977
704,-69.237,-38.085,-49.897
706,-69.246,41.642,-49.817
708,-69.29,-60.768,-49.738
710,-69.306,-61.264,-49.658
712,-69.308,-57.871,-49.578
714,-69.306,-53.309,-49.496
716,-69.294,-48.711,-49.413
718,-69.275,-44.568,-49.328
720,-69.252,-41.174,-49.241
722,-69.225,-38.335,-49.154
