# BIOSIM pyloric voltage traces (reference)
# version=0.71
# gitSha=177226e63f6a6f92bce29107de5e730531d6239b
# noise=off
# durationMs=3000 dtSimMs=0.05 burnInMs=3000 sampleMs=2
t_ms,v_abpd,v_lp,v_py
0,-64.138,-69.259,-42.201
2,-64.01,-69.224,-41.894
4,-63.881,-69.19,-41.448
6,-63.751,-69.157,-40.676
8,-63.62,-69.344,49.392
10,-63.489,-69.635,48.153
12,-63.357,-69.655,-56.701
14,-63.225,-69.653,-56.569
16,-63.091,-69.636,-52.806
18,-62.958,-69.615,-49.485
20,-62.823,-69.592,-46.928
22,-62.688,-69.569,-45.156
24,-62.553,-69.544,-44.044
26,-62.417,-69.519,-43.441
28,-62.281,-69.493,-43.296
30,-62.145,-69.467,-43.584
32,-62.008,-69.439,-44.029
34,-61.871,-69.411,-44.579
36,-61.734,-69.381,-45.196
38,-61.596,-69.35,-45.852
40,-61.458,-69.318,-46.528
42,-61.32,-69.285,-47.21
44,-61.182,-69.25,-47.891
46,-61.043,-69.213,-48.565
48,-60.905,-69.175,-49.228
50,-60.766,-69.135,-49.88
52,-60.627,-69.093,-50.519
54,-60.489,-69.049,-51.143
56,-60.35,-69.004,-51.753
58,-60.21,-68.956,-52.348
60,-60.071,-68.907,-52.927
62,-59.932,-68.855,-53.49
64,-59.793,-68.801,-54.037
66,-59.654,-68.745,-54.568
68,-59.514,-68.687,-55.081
70,-59.375,-68.626,-55.576
72,-59.235,-68.563,-56.053
74,-59.096,-68.497,-56.512
76,-58.956,-68.429,-56.951
78,-58.816,-68.358,-57.37
80,-58.677,-68.285,-57.769
82,-58.537,-68.208,-58.148
84,-58.397,-68.129,-58.506
86,-58.256,-68.048,-58.843
88,-58.116,-67.963,-59.159
90,-57.976,-67.875,-59.454
92,-57.835,-67.784,-59.728
94,-57.694,-67.691,-59.982
96,-57.552,-67.594,-60.215
98,-57.411,-67.494,-60.429
100,-57.269,-67.391,-60.623
102,-57.127,-67.285,-60.798
104,-56.984,-67.176,-60.956
106,-56.841,-67.063,-61.095
108,-56.697,-66.948,-61.218
110,-56.552,-66.829,-61.325
112,-56.407,-66.707,-61.417
114,-56.262,-66.582,-61.494
116,-56.115,-66.454,-61.558
118,-55.968,-66.323,-61.609
120,-55.82,-66.189,-61.648
122,-55.671,-66.052,-61.676
124,-55.521,-65.911,-61.693
126,-55.369,-65.768,-61.7
128,-55.217,-65.623,-61.7
130,-55.063,-65.474,-61.698
132,-54.908,-65.323,-61.688
134,-54.751,-65.169,-61.67
136,-54.593,-65.013,-61.645
138,-54.432,-64.854,-61.613
140,-54.27,-64.694,-61.576
142,-54.106,-64.531,-61.534
144,-53.94,-64.366,-61.486
146,-53.771,-64.2,-61.435
148,-53.6,-64.032,-61.38
150,-53.426,-63.862,-61.321
152,-53.249,-63.691,-61.26
154,-53.069,-63.519,-61.196
156,-52.886,-63.346,-61.13
158,-52.699,-63.172,-61.063
160,-52.508,-62.997,-60.995
162,-52.313,-62.822,-60.926
164,-52.114,-62.647,-60.856
166,-51.91,-62.472,-60.786
168,-51.7,-62.297,-60.717
170,-51.485,-62.123,-60.648
172,-51.263,-61.949,-60.58
174,-51.035,-61.776,-60.513
176,-50.799,-61.604,-60.448
178,-50.555,-61.433,-60.384
180,-50.303,-61.264,-60.323
182,-50.041,-61.096,-60.264
184,-49.768,-60.93,-60.208
186,-49.483,-60.767,-60.156
188,-49.185,-60.606,-60.106
190,-48.872,-60.447,-60.061
192,-48.542,-60.292,-60.02
194,-48.193,-60.139,-59.984
196,-47.822,-59.99,-59.952
198,-47.425,-59.844,-59.927
200,-46.998,-59.702,-59.908
202,-46.533,-59.565,-59.897
204,-46.023,-59.432,-59.898
206,-45.456,-59.304,-59.913
208,-44.812,-59.182,-59.94
210,-44.061,-59.066,-59.982
212,-43.146,-58.957,-60.042
214,-41.946,-58.857,-60.125
216,-40.09,-58.768,-60.248
218,49.03,-60.13,-64.576
220,-71.639,-61.803,-68.893
222,-71.882,-63.098,-71.751
224,-71.08,-64.1,-73.65
226,-69.7,-64.875,-74.916
228,-68.001,-65.474,-75.761
230,-66.014,-65.934,-76.323
232,-63.774,-66.285,-76.695
234,-61.321,-66.55,-76.937
236,-58.686,-66.745,-77.091
238,-55.89,-66.884,-77.182
240,-52.954,-66.977,-77.231
242,-49.908,-67.034,-77.25
244,-46.773,-67.06,-77.251
246,-43.451,-67.064,-77.247
248,49.106,-67.175,-77.288
250,-46.676,-67.448,-77.433
252,-72.75,-67.649,-77.517
254,-72.469,-67.789,-77.557
256,-71.481,-67.879,-77.568
258,-70.317,-67.93,-77.568
260,-69.006,-67.95,-77.558
262,-67.587,-67.951,-77.535
264,-66.103,-67.943,-77.503
266,-64.59,-67.916,-77.464
268,-63.07,-67.871,-77.421
270,-61.55,-67.812,-77.373
272,-60.025,-67.741,-77.323
274,-58.485,-67.66,-77.27
276,-56.923,-67.57,-77.216
278,-55.335,-67.473,-77.16
280,-53.723,-67.369,-77.102
282,-52.094,-67.259,-77.043
284,-50.458,-67.145,-76.983
286,-48.819,-67.027,-76.922
288,-47.173,-66.905,-76.859
290,-45.494,-66.781,-76.796
292,-43.7,-66.654,-76.732
294,-41.548,-66.527,-76.668
296,49.034,-66.504,-76.716
298,-66.562,-66.849,-76.97
300,-73.253,-67.109,-77.124
302,-72.926,-67.297,-77.21
304,-72.08,-67.427,-77.25
306,-71.145,-67.51,-77.26
308,-70.162,-67.556,-77.26
310,-69.18,-67.572,-77.249
312,-68.244,-67.572,-77.223
314,-67.389,-67.561,-77.188
316,-66.632,-67.53,-77.145
318,-65.974,-67.483,-77.098
320,-65.409,-67.42,-77.046
322,-64.923,-67.346,-76.991
324,-64.501,-67.261,-76.934
326,-64.13,-67.167,-76.875
328,-63.801,-67.066,-76.813
330,-63.506,-66.958,-76.75
332,-63.237,-66.844,-76.686
334,-62.992,-66.726,-76.62
336,-62.767,-66.602,-76.553
338,-62.56,-66.475,-76.485
340,-62.369,-66.344,-76.415
342,-62.192,-66.21,-76.344
344,-62.029,-66.073,-76.272
346,-61.878,-65.934,-76.199
348,-61.738,-65.792,-76.124
350,-61.608,-65.648,-76.049
352,-61.488,-65.502,-75.972
354,-61.376,-65.354,-75.893
356,-61.271,-65.205,-75.814
358,-61.173,-65.054,-75.733
360,-61.082,-64.902,-75.651
362,-60.995,-64.748,-75.568
364,-60.913,-64.593,-75.483
366,-60.835,-64.438,-75.398
368,-60.76,-64.281,-75.311
370,-60.689,-64.124,-75.222
372,-60.62,-63.966,-75.133
374,-60.554,-63.807,-75.042
376,-60.489,-63.648,-74.95
378,-60.427,-63.488,-74.857
380,-60.365,-63.328,-74.762
382,-60.306,-63.167,-74.667
384,-60.247,-63.006,-74.569
386,-60.189,-62.845,-74.471
388,-60.132,-62.683,-74.371
390,-60.075,-62.522,-74.271
392,-60.02,-62.36,-74.168
394,-59.964,-62.199,-74.065
396,-59.91,-62.037,-73.96
398,-59.855,-61.876,-73.854
400,-59.801,-61.714,-73.747
402,-59.747,-61.553,-73.639
404,-59.694,-61.392,-73.529
406,-59.641,-61.232,-73.418
408,-59.588,-61.071,-73.306
410,-59.536,-60.911,-73.192
412,-59.484,-60.752,-73.077
414,-59.432,-60.592,-72.962
416,-59.38,-60.433,-72.845
418,-59.329,-60.275,-72.726
420,-59.278,-60.117,-72.607
422,-59.227,-59.96,-72.486
424,-59.177,-59.803,-72.364
426,-59.127,-59.647,-72.241
428,-59.077,-59.491,-72.117
430,-59.028,-59.336,-71.992
432,-58.979,-59.181,-71.865
434,-58.931,-59.027,-71.738
436,-58.883,-58.874,-71.609
438,-58.836,-58.721,-71.48
440,-58.789,-58.569,-71.349
442,-58.743,-58.418,-71.217
444,-58.697,-58.267,-71.084
446,-58.652,-58.117,-70.95
448,-58.608,-57.968,-70.815
450,-58.564,-57.819,-70.68
452,-58.521,-57.671,-70.543
454,-58.479,-57.523,-70.405
456,-58.438,-57.377,-70.266
458,-58.397,-57.231,-70.127
460,-58.357,-57.085,-69.986
462,-58.318,-56.94,-69.845
464,-58.28,-56.796,-69.703
466,-58.243,-56.653,-69.56
468,-58.207,-56.51,-69.416
470,-58.172,-56.367,-69.271
472,-58.137,-56.225,-69.126
474,-58.104,-56.084,-68.98
476,-58.072,-55.943,-68.833
478,-58.041,-55.803,-68.686
480,-58.011,-55.663,-68.538
482,-57.983,-55.523,-68.389
484,-57.955,-55.384,-68.24
486,-57.929,-55.245,-68.09
488,-57.904,-55.107,-67.939
490,-57.88,-54.969,-67.788
